Filename,Document Name,Parties,Agreement Date,Effective Date,Renewal Term,Governing Law,Exclusivity,Post-Termination Services
LegacyEducationAllianceInc_20141110_8-K_EX-10.9_8828866_EX-10.9_Endorsement Agreement.pdf,TALENT ENDORSEMENT AGREEMENT,"['Celebrity Speakers', 'Tigrent Learning UK Limited', 'CSA', 'Talent', 'Robbie Fowler', 'Company']",['____ day of ______________ 2013'],01-01-2013,['The period of license granted shall be for the Term and shall extend for a period of twenty four (24) months or until terminated as per clause 8 herein.'],"England, United Kingdom; Wales, United Kingdom",[],"['Talent agrees that Company shall, for a period of nine (9) months (Sell-Off Period) following the effective date of termination, have the right to continue to sell Product bearing  the Property and/or utilize advertising materials and collateral bearing the Property.']"
LifewayFoodsInc_20160316_10-K_EX-10.24_9489766_EX-10.24_Endorsement Agreement.pdf,ENDORSEMENT AGREEMENT,"['Ludmila Smolyansky', 'Lifeway', 'Individual', 'Lifeway Foods, Inc.']","['14th day of March, 2016']",3/14/16,[],Illinois,[],[]
PerformanceSportsBrandsInc_20110909_S-1_EX-10.10_7220214_EX-10.10_Endorsement Agreement.pdf,ENDORSEMENT AGREEMENT,"['Andy North', 'Company', 'Golfers Incorporated', 'North']",['21s t day of February 2011'],2/21/11,[],Florida,"['During the Term of this Agreement and within the  Contract Territory, North agrees not to enter into an agreement with another company or entity for the purpose of endorsing or promoting  products similar to the Endorsed Products.']",['Said books and records shall be maintained for a two (2) year period following the expiration or termination of  this Agreement.']
PharmagenInc_20120803_8-KA_EX-10.1_7693204_EX-10.1_Endorsement Agreement.pdf,ENDORSEMENT AGREEMENT,"['""Celebrity', 'Healthcare Distribution Specialists LLC', 'HDS', 'Paul Silas']","['February 20, 2012']",2/20/12,[],Georgia,"['Celebrity represents and warrants that during the Term and in the Territory, Celebrity will not endorse or  make any appearances or advertisements on behalf of any other multivitamin.']",[]
PrudentialBancorpInc_20170606_8-K_EX-10.4_10474434_EX-10.4_Endorsement Agreement.pdf,Split-Dollar Endorsement Agreement,"['""Employer"")', 'Prudential Bank', 'Employee', 'Jeffrey Hanuscin']","['1st day of June, 2017']",06-01-2017,[],Pennsylvania,[],[]
ArcaUsTreasuryFund_20200207_N-2_EX-99.K5_11971930_EX-99.K5_Development Agreement.pdf,BLOCKCHAIN ADMINISTRATION AND DEVELOPMENT AGREEMENT,"['Fund', 'Blockchain Administrator', 'ARCA CAPITAL MANAGEMENT, LLC', 'ARCA U.S. TREASURY FUND,']","['[___], 2020']",[]/[]/2020,"['This Agreement shall continue in effect for two years from the date hereof, and thereafter shall continue automatically for successive annual periods, provided that such continuance is specifically approved at least annually by (A) the vote of the Board, or by the vote of a majority of the outstanding voting securities of the Fund and (B) the vote of a majority of the Fund\'s directors who are not parties to this Agreement or ""interested persons"" (as such term is defined in Section 2(a)(19) of the Investment Fund Act) of any such party, in accordance with the requirements of the Investment Fund Act.']",New York,[],[]
AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3_Development Agreement.pdf,"LICENSE, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT","['Xencor and Aimmune are sometimes referred to herein individually as a ""Party"" and collectively as the ""Parties"".', 'Xencor', 'Aimmune', 'Aimmune Therapeutics, Inc.', 'Xencor, Inc.']","['FEBRUARY 4, 2020']",02-04-2020,[],California,"[""Subject to the terms and conditions of this Agreement, Xencor hereby grants to Aimmune during the Term an exclusive, worldwide, payment-bearing license under and with respect to Xencor Patents and Xencor's interest in Joint Collaboration Patents, and a non-exclusive, payment bearing license under and with respect to Xencor Know-How, in each case, with the right to sublicense solely in accordance with Section 2.3.2, solely to Develop, Manufacture and Commercialize the Product in and for the Licensed Field; provided that notwithstanding the foregoing, Xencor shall retain the right under and with respect to Xencor Patents and Xencor's interest in Joint Collaboration Patents to the extent necessary to perform its obligations under this Agreement."", 'Aimmune hereby grants to Xencor an exclusive license under and with respect to Aimmune Patents, and a non-exclusive license under and with respect to Aimmune Know-How, in each case, where such license is an irrevocable, perpetual, royalty-bearing license, with the right to sublicense, to Develop, Manufacture and Commercialize the Product(s), as the Product(s) exist as of the effective date of such termination, or optimized']","['Upon expiration of this Agreement with respect to a Product in a country, the licenses granted to Aimmune pursuant to this Agreement shall continue in full force and effect on a fully-paid basis.', 'Upon the termination of this Agreement:\n\n14.1.1 all rights and licenses granted to Aimmune hereunder shall immediately terminate and be of no further force and effect and Aimmune shall cease Developing, Commercializing, Manufacturing and Packaging and Labeling such Product in and for all applicable countries; provided, that Aimmune and its Affiliates will be entitled, during the period<omitted>ending on the last day of the [***] following the effective date of such termination, to sell any inventory of Product affected by such termination that remains on hand as of the effective date of the termination, so long as Aimmune pays to Xencor all amounts payable hereunder (including milestones) applicable to said subsequent sales, as applicable, in accordance with the terms and conditions set forth in this Agreement and otherwise complies with the terms set forth in this Agreement.']"
CnsPharmaceuticalsInc_20200326_8-K_EX-10.1_12079626_EX-10.1_Development Agreement.pdf,Development Agreement,"['CNS and WPD are sometimes referred to herein individually as a ""Party"" and collectively as the ""Parties.""', 'WPD', 'CNS Pharmaceuticals, Inc.', 'CNS', 'WPD Pharmaceuticals']","['March 20, 2020']",3/20/20,[],Texas,[],[]
ClickstreamCorp_20200330_1-A_EX1A-6 MAT CTRCT_12089935_EX1A-6 MAT CTRCT_Development Agreement.pdf,APPLICATION DEVELOPMENT AGREEMENT,"['InfinixSoft Global LLC', 'Developer', 'Clickstream Corporation', 'Client']","['March 20, 2020']",3/20/20,[],Florida,"['If the Client, in its reasonable discretion, consents, the Client is hereby granted an exclusive, worldwide, royalty-free, perpetual, irrevocable license to use, distribute, modify, publish, and otherwise exploit the incorporated items in connection with the work product developed for the Client.']",[]
CoherusBiosciencesInc_20200227_10-K_EX-10.29_12021376_EX-10.29_Development Agreement.pdf,LICENSE AND DEVELOPMENT AGREEMENT,"['Licensee', 'Coherus BioSciences, Inc.', 'Bioeq', 'Bioeq IP AG']","['Nov. 02, 2019']",11-02-2019,"[""Except as otherwise specified in this Agreement, the Parties' respective rights and obligations under this Agreement shall commence on the Effective Date and shall remain in full force for ten (10) years after the First Commercial Sale of the first Licensed Product, and shall thereafter automatically renew for an unlimited period of time unless otherwise terminated in accordance with Section 15.2.""]",[],"['For clarity, the exclusive license granted to Licensee pursuant to Section 2.1 shall extend to all Intellectual Property Rights and Know-How Controlled by Bioeq and embodied within, or claiming or covering the Bioeq Improvements.', ""Solely in the event that this Agreement is terminated by Bioeq pursuant to Sections 15.2.1, 15.2.2, 15.2.3, 15.2.4, 15.2.8 or 15.2.9 or by Licensee pursuant to Section 15.2.5 , Licensee shall grant, and hereby grants to Bioeq an exclusive, royalty-free, fully paid, sublicenseable, license to use the Licensee-Controlled Trademarks which were actually used by Licensee to Commercialize the Licensed Products in the Territory in connection with Bioeq's Commercialization of the Licensed Products in the Territory."", 'Subject to the provisions of this Agreement, Bioeq hereby grants to Licensee an exclusive (even as to Bioeq), milestone- and royalty-bearing, non-transferable license (including the right to grant sublicenses only to the extent permitted by Section 2.1.2) under the Licensed Technology (including the Licensed Patents) to use, sell, have sold, import, have imported or otherwise Commercialize the Licensed Products in the Field in the Territory.']","[""Licensee shall, within [***] ([***]) days of the effective date of termination of the Agreement at the latest (and at no cost to Bioeq if this Agreement is terminated by Bioeq pursuant to Sections 15.2.1, 15.2.2, 15.2.3, 15.2.4, 15.2.8 or 15.2.9, or by Licensee pursuant to Section 15.2.5, or at Bioeq's cost and expense if this Agreement is terminated by Licensee pursuant to Sections 15.2.1, 15.2.6, 15.2.7 or 15.2.8, as applicable) transfer and assign to Bioeq or its designee all of Licensee's right, title and interest in and to any and all Biologics License Applications and Biologics License Application Approvals controlled by Licensee for the Licensed Products in the Field in the Territory as of the effective date of such termination, including any and all documentation pertaining to such filings and Biologics License Application Approvals (provided that the physical or electronic transfer of files and documentation in connection with such transfer and assignment of rights may occur after such [***] ([***]) day period without being deemed a breach of this Section 15.3.2 by Licensee)"", ""Licensee shall be permitted, at Bioeq's choice (if this Agreement is terminated by Bioeq pursuant to Sections 15.2.1, 15.2.2, 15.2.3, 15.2.4, 15.2.8 or 15.2.9, or by Licensee pursuant to Section 15.2.5) or at Licensee's choice (if this Agreement is terminated by Licensee pursuant to Sections 15.2.1, 15.2.6, 15.2.7 or 15.2.8), to cither (a) continue selling its and its Affiliates' inventory of Licensed Products existing on the termination effective date in accordance with this Agreement for a maximum period of [***] ([***]) days (in which case all terms and conditions of this Agreement, including Licensee's obligation to report and pay royalties, shall continue to apply to such continued sale) or (b) sell such inventory to Bioeq at the supply price paid by Licensee to Bioeq for such inventory in accordance with the Manufacturing and Supply Agreement."", ""Licensee shall (at no cost to Bioeq if this Agreement is terminated by Bioeq pursuant to Sections 15.2.1, 15.2.2, 15.2.3, 15.2.4, 15.2.8 or 15.2.9, or by Licensee pursuant to Section 15.2.5, or at Bioeq's cost and expense if this Agreement is terminated by Licensee pursuant to Sections 15.2.1, 15.2.6, 15.2.7 or 15.2.8, as applicable) use Commercially Reasonable Efforts to cooperate with Bioeq or its designee, and provide [***] reasonable assistance and support, to [***] Bioeq or its designee to take over the Commercialization of the Licensed Products in the Field in the Territory [***] following the effective date of such termination, including by (a) using Commercially Reasonable Efforts to provide [***], (b) disclosing and assigning (to the extent permitted under the relevant agreement) to Bioeq Licensee's existing agreements relating solely to the Commercialization of the Licensed Product in the Territory, including with [***], to the extent legally possible ([***]) and (c) transferring Licensed Product- specific marketing materials, including [***].""]"
EmeraldHealthBioceuticalsInc_20200218_1-A_EX1A-6 MAT CTRCT_11987205_EX1A-6 MAT CTRCT_Development Agreement.pdf,Consulting and Product Development Agreement,"['Emerald Health Nutraceuticals Inc.', 'EHS', 'EHN', 'Michael T. Murray, N.D', 'Dr. Murray', 'Emerald Health Sciences Inc.']",['1st day of September 2016'],09-01-2016,"[""The Services Term of this Agreement shall be automatically renewed for successive two-year terms thereafter unless written notice is given by either party to the other, indicating that party's intention not to renew the Services Term of this Agreement, at least ninety (90) days prior to the end of the initial Services Term or any renewed Services Term.""]",Arizona,"[""EHS and EHN shall have the exclusive rights in and to all ingredients, product specifications, goodwill, and all other intellectual property rights associated with any Product(s); provided, however, that EHS and EHN shall not have any rights in or to Dr. Murray's name or likeness except as expressly granted in writing herein or via electronic transmission by Dr. Murray.""]",[]
HarpoonTherapeuticsInc_20200312_10-K_EX-10.18_12051356_EX-10.18_Development Agreement.PDF,DEVELOPMENT AND OPTION AGREEMENT,"['Harpoon Therapeutics, Inc.', 'AbbVie Biotechnology Ltd', 'AbbVie', 'Harpoon']","['November 20, 2019']",11/20/19,[],Delaware,"[""Upon the License Option Exercise Closing Date, Harpoon (on behalf of itself and its Affiliates) hereby grants to AbbVie:\n\n(a) an exclusive (including with regard to Harpoon and its Affiliates, except as provided in Section 5.6) license (or sublicense), with the right to grant sublicenses in accordance with Section 5.3, under the Harpoon Patents, the Harpoon Know-How, and Harpoon's interests in the Joint Patents and the Joint Know-How, to Exploit the Licensed Compounds and Licensed Products in the Field in the Territory;\n\n(b) an exclusive (including with regard to Harpoon and its Affiliates, except as provided in Section 5.6) license and right of reference, with the right to grant sublicenses and further rights of reference in accordance with Section 5.3, under the Regulatory Approvals and any other Regulatory Documentation that Harpoon or its Affiliates may Control with respect to the Licensed Compounds or Licensed Products solely for purposes of Exploiting the Licensed Compounds and Licensed Products in the Field in the Territory."", ""Upon the [***], Harpoon (on behalf of itself and its Affiliates) hereby grants to AbbVie a co-exclusive (with Harpoon), royalty-free (subject to [***] [***]) license, with the right to grant sublicenses in accordance with Section 5.3, under the Harpoon Patents, the Harpoon Know-How, and Harpoon's interests in the Joint Patents and the Joint Know- How, to Develop and Manufacture the Licensed Compounds and Licensed Products solely to the extent necessary for AbbVie to perform [***]."", 'Upon the Effective Date, Harpoon hereby grants to AbbVie the exclusive right, but not the obligation, to obtain the licenses set forth in Section 5.1.3 (the ""License Option"").', ""Effective upon the date that AbbVie commences performing Initial Development Activities pursuant to Section 3.1.2, Harpoon (on behalf of itself and its Affiliates) shall grant and hereby grants AbbVie a co- exclusive (with Harpoon), royalty-free license, with the right to grant sublicenses in accordance with Section 5.3, under the Harpoon Patents, the Harpoon Know-How, and Harpoon's interests in the Joint Patents and the Joint Know-How, solely to the extent necessary for AbbVie to conduct Initial Development Activities assumed by AbbVie in accordance with Section 3.1.2 (if any).""]","[""If AbbVie terminates this Agreement with respect to a country or other jurisdiction, or in its entirety pursuant to Section 12.3, AbbVie shall have the right for at least [***] and no more than [***], which period shall be determined by Harpoon in its sole discretion, after the effective date of such termination with respect to such country or other jurisdiction to sell or otherwise dispose of all Licensed Compound or Licensed Product then in its inventory and any in-progress inventory, in each case that is intended for sale or disposition in such country or other jurisdiction, as though this Agreement had not terminated with respect to such country or other jurisdiction, and such sale or disposition shall not constitute infringement of Harpoon's or its Affiliates' Patent or other intellectual property or other proprietary rights."", 'The insurance policies shall be under an occurrence form, but if only a claims-made form is available to a Party, then such Party shall continue to maintain such insurance after the expiration or termination of this Agreement for the longer of (a) a period of [***] following termination or expiration of this Agreement in its entirety, or (b) with respect to a particular Party, [***] by a Party.']"
IbioInc_20200313_8-K_EX-10.1_12052678_EX-10.1_Development Agreement.pdf,MASTER JOINT DEVELOPMENT AGREEMENT,"['CC-Pharming', 'iBio Inc.', 'Beijing CC-Pharming Ltd.']","['August 08, 2018']",08-08-2018,[],Texas,[],[]
HfEnterprisesInc_20191223_S-1_EX-10.22_11931299_EX-10.22_Development Agreement.pdf,OUTSOURCE TECHNOLOGY DEVELOPMENT AGREEMENT,"['Developer', 'DSS', 'HotApp International Ltd.', 'Document Security Systems, Inc.']","['1s t day of March, 2018']",03-01-2018,"['The Initial Term shall automatically renew for one-month periods thereafter unless either party provides 30- days advance notice of termination, unless earlier terminated pursuant to Section 2.2 hereof']",New York,[],[]
LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement.pdf,REAL ESTATE EDUCATION TRAINING PROGRAM DEVELOPMENT AGREEMENT,"['T&B Seminars, Inc.', 'LEA', 'Legacy Education Alliance Holdings, Inc.', 'T&B']",['12-23-2019'],12/23/19,['The Term shall automatically renew thereafter for successive 5-year terms unless either party provides prior written notice of termination not less than 90 days prior to the end of such five-year term.'],New York,"['T&B shall not, during the Term, grant any third party a license to use the Licensed Intellectual Property within the Exclusive Field of Use.', 'T&B hereby grants to LEA, and LEA hereby accepts from T&B, during the Term, the sole and exclusive worldwide right and license in and to the Licensed Intellectual Property, which right and license shall be limited to that which is necessary for LEA to (i) develop and create Educational Materials and (ii) develop, promote and conduct the Business worldwide , unless the license is earlier terminated as provided herein.', 'In consideration of the exclusivity rights granted to LEA, commencing with the seventh (7t h) month of the Term and continuing each year of the Term thereafter, the minimum Royalties payable to T&B each month shall be the greater of the (i) applicable monthly Base Royalty and Marketing Royalty or (ii) $200,000.']","['LEA shall, for a period of six (6) months (""Sell-Off Period"") following the effective date of termination of the license granted by T&B hereunder, have the right to fulfill commitments made to customers during the Term']"
LiquidmetalTechnologiesInc_20200205_8-K_EX-10.1_11968198_EX-10.1_Development Agreement.pdf,BUSINESS DEVELOPMENT AGREEMENT,"['LIQUIDMETAL TECHNOLOGIES, INC.', 'Eutectix', 'EUTECTIX, LLC', 'Liquidmetal']","[', 2020']",[]/[]/2020,"['Upon the expiration of the Term, the Term shall automatically extend for successive 12-month periods until one Party terminates the Agreement by providing at least 180 days prior written notice to the other Party prior to the expiration of the then-current term or unless sooner terminated in accordance with the terms of this Agreement.']",Arizona,[],"['To the extent any insurance coverage required under this Agreement is purchased on a ""claims-made"" basis, such insurance shall cover all prior acts of Eutectix during the term of this Agreement, and such insurance shall be continuously maintained until at least two (2) years beyond the expiration or termination of the term of this Agreement, or Eutectix shall purchase ""tail"" coverage, effective upon termination of any such policy or upon termination or expiration of the term of this Agreement, to provide coverage for at least two (2) years from the occurrence of either such event.', 'Upon expiration or termination of this Agreement for any reason, Eutectix shall have the option to purchase some or all of the Licensed Equipment at fair market value, less any amounts owed to Eutectix by Liquidmetal, except the equipment listed under Section 2.1(b) above', ""Upon reasonable prior notice to Eutectix and at Liquidmetal's expense, no more than once per year, during the Term of this Agreement and for one (1) year following the expiration or termination of this Agreement, Liquidmetal or its designee shall have the right from time to time to confirm and validate: (a) that Eutectix has complied with the pricing provisions of this Agreement; (b) Eutectix's financial condition, successorship planning, and ability to continue operations; (c) that Eutectix's performance is consistent with the Agreement; (d) that Eutectix has complied with Article 10 (Compliance) of this Agreement."", 'Notwithstanding the foregoing, with regard to orders received and accepted by Eutectix before expiration or notice of termination, Eutectix may finish making any products in process, may conclude any orders in process, including finishing manufacturing of such products and shipping such products to the customer for up to 6 months after termination or expiration of this Agreement;', 'In the event this Agreement expires or is terminated for any reason other than a breach by Eutectix, Liquidmetal shall purchase from Eutectix existing raw material inventory at the purchase price (including delivery charges) paid by Eutectix to its suppliers in connection with the Orders accepted by Eutectix hereunder.']"
